Quantity,Manufacturer Part Number,Manufacturer,Customer Reference,Value,Footprint
2,C0805C475K3RACTU,Kemet,"C1,C2",4.7uF X7R,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
2,C0402C109C5GACTU,KEMET,"C78,C79",Cf 1p C0G 0402,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder
2,CL21B103KBANNNC,Samsung Electro-Mechanics,"C94,C95",Crf 10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
2,CL21B102KBANNNC,Samsung,"C96,C97",1n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
2,C0805C680J5GACTU,Kemet,"C98,C99",68pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
31,CL21B104KBCNNNC,Samsung,"C213,C214,C216,C217,C218,C219,C220,C221,C222,C224,C225,C227,C230,C233,C234,C235,C236,C237,C238,C247,C248,C249,C250,C251,C253,C254,C255,C256,C258,C_K1,C_K2",100nF PD1 level,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
11,C0805C106K3PACTU,Kemet,"C215,C223,C226,C228,C229,C231,C232,C242,C243,C252,C257",10uF I2C-3V3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
1,C0805C105K5RACTU,Kemet,C241,1uF VREF_MID bulk,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
1,09031966921,HARTING,J1,DIN41612_03x32_C_Split,DIN41612_C_3x32_Male_Horizontal_THT
2,132203-12,Amphenol RF,"J204,J205",LO1 ref SMA,SMA_Amphenol_132203-12_Horizontal
2,FGA01FC,Thorlabs,"PD1,PD2",FGA01FC,PD_FGA01FC_EdgeBracket
1,ERA-6AEB6041V,Panasonic,R1,6.04k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,ERA-6AEB124V,Panasonic,R2,120k 0.1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,ERA-6AEB8061V,Panasonic,"R100,R101",Rf 8k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,RC0805FR-073K3L,Yageo,"R116,R117",3.3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,ERA-6AEB6651V,Panasonic,"R118,R119",6.65k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
11,RC0805FR-0710KL,Yageo,"R120,R121,R122,R123,R126,R129,R134,R135,R145,R213,R214",10k RF1 bias,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,ERA-6AEB202V,Panasonic,"R124,R127",2.00k Rf,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,CRCW08051K00FKEA,Vishay Dale,"R125,R128",1.00k Rg,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
4,ERA-6AEB4992V,Panasonic,"R138,R139,R140,R142",49.9k Rf ERR1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,ERA-6AEB8251V,Panasonic,"R141,R143",8.25k VB1 bot,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,ERJ-6ENF3573V,Panasonic,R144,357k PG top,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,ERA-6AEB104V,Panasonic,"R146,R147",100k DAC->VB1 inject,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
4,RC0805FR-07100RL,Yageo,"R211,R212,R_S1,R_S2",100R I2C series,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,RC0805FR-0710RL,Yageo,R216,10R I2C-3V3 filter,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,RC0805FR-0747RL,Yageo,"R217,R218",47R ERR1 bus series,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,LT3042EMSE#PBF,Analog Devices,U1,LT3042EMSE +12V,MSOP-10-1EP_3x3mm_P0.5mm_EP2.2x3.1mm_Mask1.83x1.89mm_ThermalVias
2,OPA814DBVR,Texas Instruments,"U30,U31",OPA814DBVR,OPA814DBVR
2,AD835ARZ,Analog Devices,"U45,U46",AD835 demod,SOIC-8_3.9x4.9mm_P1.27mm
1,ADS1115IDGSR,Texas Instruments,U201,ADS1115,MSOP-10_3x3mm_P0.5mm
2,OPA192IDBVR,Texas Instruments,"U202,U203",OPA192IDBVR ERR1 buffer,SOT-23-5
2,OPA820IDBVR,Texas Instruments,"U204,U205",OPA820 LOx3,SOT-23-5
1,AD5696RARUZ,Analog Devices,U206,AD5696R,TSSOP-16_4.4x5mm_P0.65mm
