Quantity,Manufacturer Part Number,Manufacturer,Customer Reference,Value,Footprint
5,1729131,Phoenix Contact,"AC_Board:J1,AC_Board:J2,AC_Board:J3,pm22V:J5,pm6V:J4",Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal"
12,CRCW08051K00FKEA,Vishay Dale,"AC_Board:R1,pm6V:R38,pm6V:R39,pm1p8V_pm5V_5Vref_5Vlaser:R17,DIG_Card:R107,DIG_Card:R108,DIG_Card:R111,DIG_Card:VM_R51,CH_Card:R42,CH_Card:R55,AFE_Card:R125,AFE_Card:R128",1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,SL2210005,Ametherm,AC_Board:TH1,Ametherm SL22 10005,R_Axial_DIN0411_L9.9mm_D3.6mm_P7.62mm_Vertical
120,CL21B104KBCNNNC,Samsung Electro-Mechanics,"AFE_Card:C213,AFE_Card:C214,AFE_Card:C216,AFE_Card:C217,AFE_Card:C218,AFE_Card:C219,AFE_Card:C220,AFE_Card:C221,AFE_Card:C222,AFE_Card:C224,AFE_Card:C225,AFE_Card:C227,AFE_Card:C230,AFE_Card:C233,AFE_Card:C234,AFE_Card:C235,AFE_Card:C236,AFE_Card:C237,AFE_Card:C238,AFE_Card:C247,AFE_Card:C248,AFE_Card:C249,AFE_Card:C250,AFE_Card:C251,AFE_Card:C253,AFE_Card:C254,AFE_Card:C255,AFE_Card:C256,AFE_Card:C258,AFE_Card:C_K1,AFE_Card:C_K2,Backplane:C1,CH_Card:C116,CH_Card:C117,CH_Card:C118,CH_Card:C122,CH_Card:C123,CH_Card:C130,CH_Card:C131,CH_Card:C132,CH_Card:C133,CH_Card:C134,CH_Card:C135,CH_Card:C136,CH_Card:C137,CH_Card:C138,CH_Card:C139,CH_Card:C140,CH_Card:C141,CH_Card:C142,CH_Card:C143,CH_Card:C144,CH_Card:C145,CH_Card:C146,CH_Card:C147,CH_Card:C148,CH_Card:C149,CH_Card:C152,CH_Card:C153,CH_Card:C155,CH_Card:C156,CH_Card:C158,CH_Card:C161,CH_Card:C164,CH_Card:C165,CH_Card:C166,CH_Card:C167,CH_Card:C168,CH_Card:C169,CH_Card:C170,CH_Card:C171,CH_Card:C172,CH_Card:C173,CH_Card:C174,CH_Card:C176,CH_Card:C177,CH_Card:C65,CH_Card:C66,CH_Card:C_NTC1,DIG_Card:C301,DIG_Card:C302,DIG_Card:C305,DIG_Card:C306,DIG_Card:C307,DIG_Card:C312,DIG_Card:C314,DIG_Card:C315,DIG_Card:C316,DIG_Card:C317,DIG_Card:C324,DIG_Card:C80,DIG_Card:C81,DIG_Card:C82,DIG_Card:C84,DIG_Card:C85,DIG_Card:C86,DIG_Card:C88,DIG_Card:C92,DIG_Card:VM_C75,DIG_Card:VM_C76,DIG_Card:VM_C77,DIG_Card:VM_C78,DIG_Card:VM_C79,DIG_Card:VM_C80,DIG_Card:VM_C90,pm1p8V_pm5V_5Vref_5Vlaser:C10,pm1p8V_pm5V_5Vref_5Vlaser:C14,pm1p8V_pm5V_5Vref_5Vlaser:C17,pm1p8V_pm5V_5Vref_5Vlaser:C18,pm1p8V_pm5V_5Vref_5Vlaser:C27,pm1p8V_pm5V_5Vref_5Vlaser:C35,pm1p8V_pm5V_5Vref_5Vlaser:C36,pm1p8V_pm5V_5Vref_5Vlaser:C37,pm1p8V_pm5V_5Vref_5Vlaser:C38,pm1p8V_pm5V_5Vref_5Vlaser:C55,pm1p8V_pm5V_5Vref_5Vlaser:C58,pm1p8V_pm5V_5Vref_5Vlaser:C72,pm1p8V_pm5V_5Vref_5Vlaser:C73,pm1p8V_pm5V_5Vref_5Vlaser:C74,pm1p8V_pm5V_5Vref_5Vlaser:C9",100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
1,SMAJ5.0CA-E3/61,,Backplane:D3,SMAJ5.0CA,D_SMA-SMB_Universal_Handsoldering
8,09032966855,HARTING,"Backplane:J1,Backplane:J2,Backplane:J3,Backplane:J4,Backplane:J5,Backplane:J6,Backplane:J7,Backplane:J8",DIN41612_03x32_C_Split,DIN41612_C_3x32_Female_Vertical_THT
6,RC0805JR-070RL,YAGEO,"Backplane:R1,pm1p8V_pm5V_5Vref_5Vlaser:R11,DIG_Card:R314,DIG_Card:R315,CH_Card:R73,CH_Card:R74",0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
4,CL21B474KBFNNNE,Samsung,"pm22V:C1,pm22V:C2,pm6V:C42,pm6V:C43",470nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
6,UVZ1H222MHD,Nichicon,"pm22V:C3,pm22V:C4,pm22V:C9,pm22V:C10,pm6V:C46,pm6V:C47",2200uF 50V,CP_Radial_D18.0mm_P7.50mm
2,UHE1H102MHD,Nichicon,"pm22V:C5,pm22V:C6",1000uF 50V,CP_Radial_D16.0mm_P7.50mm
6,CL21B225KBYNNWE,Samsung,"pm22V:C7,pm22V:C8,pm6V:C44,pm6V:C45,pm6V:C52,pm6V:C53",2.2 uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
2,GBPC1510W,Surge Components,"pm22V:D1,pm6V:D7",GBPC1510W,Diode_Bridge_28.6x28.6x7.3mm_P18.0mm_P11.6mm
4,1N4742ATR,onsemi,"pm22V:D2,pm22V:D3,pm6V:D8,pm6V:D9",1N4742A,D_DO-41_SOD81_P10.16mm_Horizontal
10,531102B02500G,Boyd,"pm22V:HS1,pm22V:HS2,pm6V:HS2,pm6V:HS3,pm1p8V_pm5V_5Vref_5Vlaser:HS1,pm1p8V_pm5V_5Vref_5Vlaser:HS2,pm1p8V_pm5V_5Vref_5Vlaser:HS3,pm1p8V_pm5V_5Vref_5Vlaser:HS4,pm1p8V_pm5V_5Vref_5Vlaser:HS5,pm1p8V_pm5V_5Vref_5Vlaser:HS6",Heatsink Boyd 531102B02500G,Heatsink_AAVID_Extruded_531102B02500G_34.9x12.7mm_H38.1mm
2,6223BG,Boyd,"pm22V:HS3,pm6V:HS1",Heatsink Boyd 6223BG (GBPC),Bridge_GBPC_Heatsink_Boyd_6223BG
6,09031966921,HARTING,"pm22V:J6,pm6V:J6,pm1p8V_pm5V_5Vref_5Vlaser:J6,DIG_Card:J301,CH_Card:J1,AFE_Card:J1",DIN41612_03x32_C_Split,DIN41612_C_3x32_Male_Horizontal_THT
1,IRF540NPBF,Infineon,pm22V:Q1,IRF540NPBF,TO-220-3_Vertical
4,IRF9540NPBF,Infineon,"pm22V:Q2,pm6V:Q4,CH_Card:Q14,CH_Card:Q18",IRF9540NPBF,TO-220-3_Vertical
4,TUW15J15RE,Ohmite,"pm22V:R2,pm22V:R3,pm6V:R20,pm6V:R21",15,R_Axial_Power_L38.0mm_W9.0mm_P45.72mm
5,RC0805FR-071ML,Yageo,"pm22V:R4,pm22V:R5,pm6V:R26,pm6V:R27,DIG_Card:R105",1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
8,ERA-6AEB104V,Panasonic,"pm22V:R6,pm22V:R7,pm6V:R22,pm6V:R23,DIG_Card:R109,CH_Card:R78,AFE_Card:R146,AFE_Card:R147",100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,CRL1206-FW-R470ELF,Bourns,"pm22V:R8,pm22V:R9",0.47,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
6,UHE1E332MHD,Nichicon,"pm6V:C34,pm6V:C35,pm6V:C36,pm6V:C37,pm6V:C38,pm6V:C39",3300uF (UPW1E332MHD),CP_Radial_D16.0mm_P7.50mm
6,UHE1E102MPD,Nichicon,"pm6V:C40,pm6V:C41,pm6V:C48,pm6V:C49,pm6V:C50,pm6V:C51",1000uF 25V,CP_Radial_D12.5mm_P5.00mm
4,1N4148W-7-F,Diodes Incorporated,"pm6V:D10,pm6V:D11,pm6V:D_CP1,pm6V:D_CP2",1N4148W,D_SOD-123
1,IRF540ZPBF,Infineon,pm6V:Q3,IRF540ZPBF,TO-220-3_Vertical
1,MMBT2907A-TP,MCC,pm6V:Q5,MMBT2907,SOT-23_Handsoldering
1,MMBT2222ALT1G,onsemi,pm6V:Q6,MMBT2222,SOT-23_Handsoldering
2,MJL21193G,onsemi,"pm6V:Q7,pm6V:Q8",Q_PNP_MJL21193,TO-264-3_Vertical_HS657-10ABPE
2,MJL21194G,onsemi,"pm6V:Q9,pm6V:Q10",Q_NPN MJL21194,TO-264-3_Vertical_HS657-10ABPE
2,ERJ-6ENF6042V,Panasonic,"pm6V:R24,pm6V:R31",60.4k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,ERA-6AEB153V,Panasonic,"pm6V:R25,pm6V:R30",15k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,ERA-6AEB152V,Panasonic,"pm6V:R28,pm6V:R29",1.5k Bias,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
6,WSL2512R1000FEA,Vishay Dale,"pm6V:R34,pm6V:R35,pm6V:R36,pm6V:R37,CH_Card:R63,CH_Card:R65",0.1R,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder
9,RC0805FR-0710RL,YAGEO,"pm6V:R40,pm6V:R41,pm6V:R42,pm6V:R43,CH_Card:R48,CH_Card:R116,CH_Card:R126,CH_Card:R132,AFE_Card:R216",10R base-stopper,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,LM4051AIM3-ADJ/NOPB,Texas Instruments,"pm6V:U11,pm6V:U12",LM4051AIM3-ADJ/NOPB,SOT-23_Handsoldering
10,CL21B475KAFNNNE,Samsung Electro-Mechanics,"pm1p8V_pm5V_5Vref_5Vlaser:C11,pm1p8V_pm5V_5Vref_5Vlaser:C12,pm1p8V_pm5V_5Vref_5Vlaser:C20,pm1p8V_pm5V_5Vref_5Vlaser:C21,pm1p8V_pm5V_5Vref_5Vlaser:C30,pm1p8V_pm5V_5Vref_5Vlaser:C31,pm1p8V_pm5V_5Vref_5Vlaser:C56,pm1p8V_pm5V_5Vref_5Vlaser:C60,pm1p8V_pm5V_5Vref_5Vlaser:C67,pm1p8V_pm5V_5Vref_5Vlaser:C70",4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
29,C0805C106K3PACTU,KEMET,"pm1p8V_pm5V_5Vref_5Vlaser:C15,pm1p8V_pm5V_5Vref_5Vlaser:C22,pm1p8V_pm5V_5Vref_5Vlaser:C28,pm1p8V_pm5V_5Vref_5Vlaser:C29,pm1p8V_pm5V_5Vref_5Vlaser:C65,pm1p8V_pm5V_5Vref_5Vlaser:C66,pm1p8V_pm5V_5Vref_5Vlaser:C68,DIG_Card:C322,DIG_Card:C323,DIG_Card:C325,CH_Card:C115,CH_Card:C121,CH_Card:C150,CH_Card:C151,CH_Card:C154,CH_Card:C157,CH_Card:C160,CH_Card:C163,AFE_Card:C215,AFE_Card:C223,AFE_Card:C226,AFE_Card:C228,AFE_Card:C229,AFE_Card:C231,AFE_Card:C232,AFE_Card:C242,AFE_Card:C243,AFE_Card:C252,AFE_Card:C257",10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
1,T520B106M016ATE100,KEMET,pm1p8V_pm5V_5Vref_5Vlaser:C16,10uF 16V Polymer,CP_EIA-3528-21_Kemet-B_HandSolder
1,TMK325ABJ476MM-P,Taiyo Yuden,pm1p8V_pm5V_5Vref_5Vlaser:C19,47uF RC,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder
6,C0805C105K5RACTU,KEMET,"pm1p8V_pm5V_5Vref_5Vlaser:C23,pm1p8V_pm5V_5Vref_5Vlaser:C24,pm1p8V_pm5V_5Vref_5Vlaser:C75,CH_Card:C113,CH_Card:C114,AFE_Card:C241",1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
3,CL21B334KBFNNNE,Samsung Electro-Mechanics,"pm1p8V_pm5V_5Vref_5Vlaser:C57,pm1p8V_pm5V_5Vref_5Vlaser:C63,pm1p8V_pm5V_5Vref_5Vlaser:C64",0.33uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
3,1210YD107MAT2A,KYOCERA AVX,"pm1p8V_pm5V_5Vref_5Vlaser:C59,CH_Card:C159,CH_Card:C162",100uF,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder
7,1N4007RLG,onsemi,"pm1p8V_pm5V_5Vref_5Vlaser:D4,pm1p8V_pm5V_5Vref_5Vlaser:D5,pm1p8V_pm5V_5Vref_5Vlaser:D6,pm1p8V_pm5V_5Vref_5Vlaser:D12,pm1p8V_pm5V_5Vref_5Vlaser:D13,pm1p8V_pm5V_5Vref_5Vlaser:D14,pm1p8V_pm5V_5Vref_5Vlaser:D15",1N4007,D_DO-41_SOD81_P12.70mm_Horizontal
1,ERA-6AEB6042V,Panasonic Industry,pm1p8V_pm5V_5Vref_5Vlaser:R10,60.4k 0.1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,RC1206FR-074R7L,YAGEO,pm1p8V_pm5V_5Vref_5Vlaser:R12,4.7R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
