Quantity,Manufacturer Part Number,Manufacturer,Customer Reference,Value,Footprint
45,CL21B104KBCNNNC,Samsung Electro-Mechanics,"C65,C66,C116,C117,C118,C122,C123,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C152,C153,C155,C156,C158,C161,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173,C174,C_NTC1",100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
1,CL21C101JBANNNC,Samsung Electro-Mechanics,C68,100pF NP0,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
4,CL21B103KBANNNC,Samsung Electro-Mechanics,"C70,C119,C120,C175",10n C0G,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
1,CL21B102KBANNNC,Samsung Electro-Mechanics,C76,Ci 1n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
2,C0805C105K5RACTU,KEMET,"C113,C114",1uF DAC filter,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
8,C0805C106K3PACTU,KEMET,"C115,C121,C150,C151,C154,C157,C160,C163",10uF I2C-3V3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
2,1210YD107MAT2A,KYOCERA AVX,"C159,C162",100uF +6V_TEC bulk,C_1210_3225Metric
2,GRM1555C1H2R2CA01D,Murata Electronics,"C_f1,C_f2",2.2pF Cf,C_0402_1005Metric
4,MMSZ4702T1G,onsemi,"D16,D17,D20,D21",MMSZ4702 15V,D_SOD-123
2,BAT46W-7-F,Diodes Inc,"D22,D23",BAT46W rev prot,D_SOD-123
1,09031966921,HARTING,J1,DIN41612_03x32_C_Split,DIN41612_C_3x32_Male_Horizontal_THT
3,61300211121,Wurth Elektronik,"JP101,JP102,JP103",GA0 addr jumper,PinHeader_1x02_P2.54mm_Vertical
1,TSW-107-21-G-D,Samtec,J_BTF1,Butterfly daughter-card stacking header - Samtec TSW-107-21-G-D (30.99mm post),BTF_Card_Mezzanine_2x07_M3
1,B82432T1103K000,TDK,L1,10u (SRF>>20MHz),L_1812_4532Metric_Pad1.30x3.40mm_HandSolder
2,IRL540NPBF,Infineon Technologies,"Q13,Q17",IRL540N,TO-220-3_Vertical_HS657-10ABPE
2,IRF9540NPBF,Infineon Technologies,"Q14,Q18",IRF9540N,TO-220-3_Vertical_HS657-10ABPE
1,DMN3404LQ-7,Diodes Incorporated,Q19,DMN3404L,SOT-23
1,RC0805FR-073K16L,YAGEO,R41,3.16k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,CRCW08051K00FKEA,Vishay Dale,"R42,R55",1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
3,ERA-6AEB203V,Panasonic Industry,"R43,R45,R_bias1",20k 0.1% TEC_scaler_bot,R_0805_2012Metric
1,ERA-6AEB4991V,Panasonic,R44,4.99k 0.1% TEC_scaler_top,R_0805_2012Metric
4,RC0805FR-0710RL,YAGEO,"R48,R116,R126,R132",10R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,ERA-6AEB333V,Panasonic,R49,33k flag pulldown,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
4,ERA-6AEB471V,Panasonic,"R56,R57,R58,R59",470R gate,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,WSL2512R1000FEA,Vishay Dale,"R63,R65",0.1R,R_2512_6332Metric
1,ERA-6AEB204V,Panasonic Industry,R66,200k 0.1% scaler_top,R_0805_2012Metric
1,ERA-6AEB9090V,Panasonic Industry,R67,909R 0.1% scaler_bot,R_0805_2012Metric
2,WSL2512R0100FEA,Vishay Dale,"R68,R76",10mR link (was 47R - TEC path),R_2512_6332Metric
3,RC0805FR-0747RL,YAGEO,"R69,R70,R75",47R prot,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,RC0805JR-070RL,YAGEO,"R73,R74",0R link (was 47R - laser path),R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,ERA-6AEB202V,Panasonic,"R77,R117",2k (trim),R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,ERA-6AEB104V,Panasonic,R78,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
12,RC0805FR-0710KL,YAGEO,"R79,R92,R115,R120,R121,R122,R123,R124,R125,R127,R128,R129",10k gate,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,WSL2512R2500FEA,Vishay Dale,R81,0.25R 1W,R_2512_6332Metric
1,CRCW25124R70FKEG,Vishay Dale,R86,4R7 inrush limit,R_2512_6332Metric
1,ERA-6AEB102V,Panasonic,R94,Rp 1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,RC0805FR-077M5L,YAGEO,R96,Rsum 7.5M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,ERA-6AEB4870V,Panasonic,R98,487R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,ERA-6AEB8061V,Panasonic,R102,8.06k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
4,RC0805FR-07100RL,YAGEO,"R111,R112,R113,R114",100R I2C series,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,RC0805FR-074K99L,YAGEO,"R118,R119",4.99k ADC prot,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,HVCB0805FDC15M0,Stackpole Electronics,R134,15M pedestal cancel,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
6,ERA-6AEB103V,Panasonic Industry,"R_NTC1,R130,R131,R133,R_f1,R_f2",10k 0.1% NTC1 pullup,R_0805_2012Metric
5,OPA192IDBVR,Texas Instruments,"U17,U19,U22,U24,U106",OPA192IDBVR,SOT-23-5
2,OPA551UA,Texas Instruments,"U21,U107",OPA551U,SOIC-8_3.9x4.9mm_P1.27mm
4,ADG419BRMZ,Analog Devices Inc.,"U26,U104,U105,U108",ADG419BRM,MSOP-8_3x3mm_P0.65mm
2,INA828ID,Texas Instruments,"U28,U32",INA828,SOIC-8_3.9x4.9mm_P1.27mm
1,AD5696RARUZ,Analog Devices,U101,AD5696R,TSSOP-16_4.4x5mm_P0.65mm
1,ADS1115IDGSR,Texas Instruments,U102,ADS1115,MSOP-10_3x3mm_P0.5mm
1,"PCA9538PW,118",NXP USA Inc.,U103,PCA9538,TSSOP-16_4.4x5mm_P0.65mm
2,OPA380AID,Texas Instruments,"U_TIA1,U_TIA2",OPA380AIDR MPD,SOIC-8_3.9x4.9mm_P1.27mm
