Quantity,Manufacturer Part Number,Manufacturer,Customer Reference,Value,Footprint
1,Teensy 4.1,PJRC,A1,TEENSY_4.1,TEENSY_LONG_EXT
26,CL21B104KBCNNNC,Samsung Electro-Mechanics,"C80,C81,C82,C84,C85,C86,C88,C92,C301,C302,C305,C306,C307,C312,C314,C315,C316,C317,C324,VM_C75,VM_C76,VM_C77,VM_C78,VM_C79,VM_C80,VM_C90",100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
16,CL21B103KBANNNC,Samsung Electro-Mechanics,"C83,C87,C89,C90,C91,C320,C321,VM_C81,VM_C82,VM_C83,VM_C84,VM_C85,VM_C86,VM_C87,VM_C88,VM_C89",10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
2,CL21B102KBANNNC,Samsung Electro-Mechanics,"C303,C304",1n ERR1 ADC filter,C_0805_2012Metric
2,CC0805KKX7R8BB105,YAGEO,"C313,C319",1uF Y1 3V3_OSC,C_0805_2012Metric
1,CC0805KKX5R7BB106,YAGEO,C318,10uF U42 3V3,C_0805_2012Metric
3,C0805C106K3PACTU,KEMET,"C322,C323,C325",10uF +5V bulk,C_0805_2012Metric
1,BAV99-7-F,Diodes Incorporated,D24,BAV99,SOT-23
2,BAT54S-7-F,Diodes Incorporated,"D301,D302",BAT54S ERR1 ADC clamp,SOT-23
9,BAT54WS-7-F,Diodes Incorporated,"D303,D304,D305,D306,D307,D308,D309,D310,D311",BAT54WS VM fault OR,D_SOD-323
2,MPZ2012S601AT000,TDK,"FB301,FB302",600R@100MHz FB Y1,L_0805_2012Metric
2,ACX1234-ND,(DigiKey PN),"J2,J302",10MHz Ref SMA,SMA_BAT_Wireless_BWSMA-KWE-Z001
1,09031966921,HARTING,J301,DIN41612_03x32_C_Split,DIN41612_C_3x32_Male_Horizontal_THT
1,BWSMA-KWE-Z001,BAT Wireless,J302B1,LO2 out SMA,SMA_BAT_Wireless_BWSMA-KWE-Z001
3,RC0805FR-0749R9L,YAGEO,"R104,R312,R313",49R9 10MHz ref term,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,RC0805FR-071ML,YAGEO,R105,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,ERA-6AEB273V,Panasonic,R106,27k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
4,CRCW08051K00FKEA,Vishay Dale,"R107,R108,R111,VM_R51",1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,ERA-6AEB104V,Panasonic,R109,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,RC0805FR-0710ML,YAGEO,R110,10M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,ERA-6AEB222V,Panasonic,"R112,R113",2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
6,RC0805FR-07100RL,YAGEO,"R114,R301,R302,VM_R56,VM_R66,VM_R72",100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
2,RC0805FR-073K3L,YAGEO,"R303,R304",3k3 ERR1 ADC series,R_0805_2012Metric
21,RC0805FR-0710KL,YAGEO,"R305,VM_R54,VM_R55,VM_R58,VM_R60,VM_R62,VM_R63,VM_R67,VM_R69,VM_R70,VM_R73,VM_R75,VM_R76,VM_R79,VM_R80,VM_R81,VM_R82,VM_R84,VM_R85,VM_R86,VM_R87",10k FAULT_n pullup,R_0805_2012Metric
2,RC0805FR-0747RL,YAGEO,"R306,R307",47R MOD1 bus series,R_0805_2012Metric
4,RC0805FR-0733RL,YAGEO,"R311,R316,R317,R318",33R CLK10M series,R_0805_2012Metric
2,RC0805JR-070RL,YAGEO,"R314,R315",0R MOD1 LPF (provision),R_0805_2012Metric
4,AD9833BRMZ,Analog Devices,"U34,U35,U38,U39",AD9833xRM,MSOP-10_3x3mm_P0.5mm
1,LMV7219M5/NOPB,Texas Instruments,U40,LMV7219M5,SOT-23-5
1,SN74LVC1G3157DBVR,Texas Instruments,U41,SN74LVC1G3157DBVR,SOT-23-6_Handsoldering
1,CDCE913PWR,Texas Instruments,U42,CDCE913PWG4,SOP65P640X120-14N
1,1568-COM-28379-ND,SparkFun,U44,CR2013-MI2120,CR2013-MI2120
2,OPA192IDBVR,Texas Instruments,"U301,U302",OPA192IDBVR MOD1 buffer,SOT-23-5
1,SN74LVC1G125DBVR,Texas Instruments,U303,74LVC1G125 CLK10M bus buffer,SOT-23-5
9,150080GS75000,Würth Elektronik,"VM_D16,VM_D17,VM_D18,VM_D19,VM_D20,VM_D21,VM_D22,VM_D23,VM_D24",+15V_OK,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
9,MMBT3904-7-F,Diodes Inc,"VM_Q11,VM_Q12,VM_Q13,VM_Q14,VM_Q15,VM_Q16,VM_Q17,VM_Q18,VM_Q19",MMBT3904,SOT-23
1,ERA-6AEB2942V,Panasonic,VM_R50,29.4k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,ERA-6AEB9531V,Panasonic,VM_R52,9.53k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,ERA-6AEB114V,Panasonic,VM_R53,110k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,ERA-6AEB124V,Panasonic,VM_R59,120k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,RC0805FR-0740K2L,YAGEO,VM_R61,40.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1,ERA-6AEB4752V,Panasonic,VM_R64,47.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
