Qty,MPN,Supplier,Stock,UnitPrice,ExtPrice,Note,Refs
159,CL21B104KBCNNNC,DigiKey,6698901,0.0263,4.18,,"Backplane:C1,pm1p8V_pm5V_5Vref_5Vlaser:C9,pm1p8V_pm5V_5Vref_5Vlaser:C10,pm1p8V_pm5V_"
56,RC0805FR-0710KL,DigiKey,2991013,0.0208,1.16,,"DIG_Card:R305,DIG_Card:VM_R54,DIG_Card:VM_R55,DIG_Card:VM_R58,DIG_Card:VM_R60,DIG_Ca"
45,C0805C106K3PACTU,DigiKey,64841,0.168,7.56,,"pm1p8V_pm5V_5Vref_5Vlaser:C15,pm1p8V_pm5V_5Vref_5Vlaser:C22,pm1p8V_pm5V_5Vref_5Vlase"
26,CL21B103KBANNNC,DigiKey,2250921,0.044,1.14,exact,"DIG_Card:C83,DIG_Card:C87,DIG_Card:C89,DIG_Card:C90,DIG_Card:C91,DIG_Card:C320,DIG_C"
18,RC0805FR-07100RL,DigiKey,348596,0.034,0.61,,"DIG_Card:R114,DIG_Card:R301,DIG_Card:R302,DIG_Card:VM_R56,DIG_Card:VM_R66,DIG_Card:V"
15,OPA192IDBVR,DigiKey,36660,2.888,43.32,,"pm1p8V_pm5V_5Vref_5Vlaser:U21,DIG_Card:U301,DIG_Card:U302,CH_Card:U17,CH_Card:U19,CH"
14,CRCW08051K00FKEA,DigiKey,1347365,0.044,0.62,,"AC_Board:R1,pm6V:R38,pm6V:R39,pm1p8V_pm5V_5Vref_5Vlaser:R17,DIG_Card:R107,DIG_Card:R"
13,RC0805FR-0710RL,DigiKey,417731,0.051,0.66,,"pm6V:R40,pm6V:R41,pm6V:R42,pm6V:R43,CH_Card:R48,CH_Card:R116,CH_Card:R126,CH_Card:R1"
12,CL21B475KAFNNNE,DigiKey,309650,0.32,3.84,,"pm1p8V_pm5V_5Vref_5Vlaser:C11,pm1p8V_pm5V_5Vref_5Vlaser:C12,pm1p8V_pm5V_5Vref_5Vlase"
10,531102B02500G,DigiKey,36475,1.64,16.4,,"pm22V:HS1,pm22V:HS2,pm6V:HS2,pm6V:HS3,pm1p8V_pm5V_5Vref_5Vlaser:HS1,pm1p8V_pm5V_5Vre"
10,RC0805FR-0747RL,DigiKey,195644,0.034,0.34,,"DIG_Card:R306,DIG_Card:R307,CH_Card:R69,CH_Card:R70,CH_Card:R75,AFE_Card:R217,AFE_Ca"
