Quantity,Manufacturer Part Number,Manufacturer,Customer Reference,Value,Footprint,Description
2,RC0805JR-070RL,YAGEO,"DIG_Card R314,R315",0R,R_0805_2012Metric,Res 0R jumper 0805 (MOD LPF bypass R314/315)
9,RC0805FR-071K3L,YAGEO,"DIG_Card VM_R88,VM_R89,VM_R90,VM_R91,VM_R92,VM_R93,VM_R94,VM_R95,VM_R96",1.3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 1.3k 1% 0805 (VM LED series)
6,RC0805FR-07100RL,YAGEO,"DIG_Card R114,R301,R302,VM_R56,VM_R66,VM_R72",100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 100R 1% 0805 (I2C series R301/302; backlight R114)
1,RC0805FR-07100KL,YAGEO,DIG_Card R109,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 100k 1% 0805
26,CL21B104KBCNNNC,Samsung Electro-Mechanics,"DIG_Card C80,C81,C82,C84,C85,C86,C88,C92,C301,C302,C305,C306,C307,C312,C314,C315,C316,C317,C324,VM_C75,VM_C76,VM_C77,VM_C78,VM_C79,VM_C80,VM_C90",100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,MLCC 100nF 50V X7R 0805 (decoupling)
1,RC0805FR-0710ML,YAGEO,DIG_Card R110,10M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Res 10M 1% 0805 (R110 ext-ref hysteresis; 10M=auto-release, see sch note)"
21,RC0805FR-0710KL,YAGEO,"DIG_Card R305,VM_R54,VM_R55,VM_R58,VM_R60,VM_R62,VM_R63,VM_R67,VM_R69,VM_R70,VM_R73,VM_R75,VM_R76,VM_R79,VM_R80,VM_R81,VM_R82,VM_R84,VM_R85,VM_R86,VM_R87",10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 10k 1% 0805
16,CL21B103KBANNNC,Samsung Electro-Mechanics,"DIG_Card C83,C87,C89,C90,C91,C320,C321,VM_C81,VM_C82,VM_C83,VM_C84,VM_C85,VM_C86,VM_C87,VM_C88,VM_C89",10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,MLCC 10nF 50V X7R 0805
4,C0805C106K3PACTU,KEMET,"DIG_Card C318,C322,C323,C325",10uF,C_0805_2012Metric,MLCC 10uF 25V X5R 0805 (rail bulk)
1,RC0805FR-07110KL,YAGEO,DIG_Card VM_R53,110k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 110k 1% 0805 (VM divider)
1,RC0805FR-07120KL,YAGEO,DIG_Card VM_R59,120k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 120k 1% 0805 (VM divider)
1,RC0805FR-0716K5L,YAGEO,DIG_Card VM_R78,16.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 16.5k 1% 0805 (VM divider)
1,RC0805FR-071ML,YAGEO,DIG_Card R105,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 1M 1% 0805
4,CRCW08051K00FKEA,Vishay Dale,"DIG_Card R107,R108,R111,VM_R51",1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 1k 1% 0805
2,CL21B102KBANNNC,Samsung Electro-Mechanics,"DIG_Card C303,C304",1nF,C_0805_2012Metric,MLCC 1nF 50V X7R 0805 (ERR filter)
2,C0805C105K5RACTU,KEMET,"DIG_Card C313,C319",1uF,C_0805_2012Metric,MLCC 1uF 50V X7R 0805 (ferrite island bulk)
2,RC0805FR-072K2L,YAGEO,"DIG_Card R112,R113",2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 2.2k 1% 0805 (I2C pullups)
1,RC0805FR-0727KL,YAGEO,DIG_Card R106,27k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 27k 1% 0805
1,RC0805FR-0729K4L,YAGEO,DIG_Card VM_R50,29.4k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 29.4k 1% 0805 (VM divider)
2,RC0805FR-073K3L,YAGEO,"DIG_Card R303,R304",3.3k,R_0805_2012Metric,Res 3.3k 1% 0805 (ERR ADC series R303/304)
2,RC0805FR-0730K1L,YAGEO,"DIG_Card VM_R65,VM_R77",30.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 30.1k 1% 0805 (VM divider)
3,RC0805FR-0733RL,YAGEO,"DIG_Card R311,R316,R317",33R,R_0805_2012Metric,Res 33R 1% 0805 (clock series term)
1,RC0805FR-0738K3L,YAGEO,DIG_Card VM_R71,38.3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 38.3k 1% 0805 (VM divider)
1,RC0805FR-074K42L,YAGEO,DIG_Card VM_R83,4.42k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 4.42k 1% 0805 (VM divider)
9,RC0805FR-074K7L,YAGEO,"DIG_Card VM_R97,VM_R98,VM_R99,VM_R100,VM_R101,VM_R102,VM_R103,VM_R104,VM_R105",4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 4.7k 1% 0805 (VM divider)
1,RC0805FR-0740K2L,YAGEO,DIG_Card VM_R61,40.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 40.2k 1% 0805 (VM divider)
1,RC0805FR-0747K5L,YAGEO,DIG_Card VM_R64,47.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 47.5k 1% 0805 (VM divider)
2,C0805C471J5GACTU,KEMET,"DIG_Card C310,C311",470pF,C_0805_2012Metric,MLCC 470pF 50V C0G 0805 - MOD LPF provision: ORDER but DO NOT POPULATE initially
2,RC0805FR-0747RL,YAGEO,"DIG_Card R306,R307",47R,R_0805_2012Metric,Res 47R 1% 0805
