series_index,kemet_pn,ref_des,y_label,y_unit,x,y
0,C0805C106K3PACTU,,Capacitance Change,%,0,-0
0,C0805C106K3PACTU,,Capacitance Change,%,0.25,-0.0709
0,C0805C106K3PACTU,,Capacitance Change,%,0.5,-0.2835
0,C0805C106K3PACTU,,Capacitance Change,%,0.75,-0.6378
0,C0805C106K3PACTU,,Capacitance Change,%,1,-1.1338
0,C0805C106K3PACTU,,Capacitance Change,%,1.25,-1.7715
0,C0805C106K3PACTU,,Capacitance Change,%,1.5,-2.551
0,C0805C106K3PACTU,,Capacitance Change,%,1.75,-3.4722
0,C0805C106K3PACTU,,Capacitance Change,%,2,-4.5352
0,C0805C106K3PACTU,,Capacitance Change,%,2.25,-5.7398
0,C0805C106K3PACTU,,Capacitance Change,%,2.5,-7.0862
0,C0805C106K3PACTU,,Capacitance Change,%,2.75,-8.5743
0,C0805C106K3PACTU,,Capacitance Change,%,3,-10.2041
0,C0805C106K3PACTU,,Capacitance Change,%,3.25,-11.9756
0,C0805C106K3PACTU,,Capacitance Change,%,3.5,-13.8889
0,C0805C106K3PACTU,,Capacitance Change,%,3.75,-15.9439
0,C0805C106K3PACTU,,Capacitance Change,%,4,-18.1406
0,C0805C106K3PACTU,,Capacitance Change,%,4.25,-20.9412
0,C0805C106K3PACTU,,Capacitance Change,%,4.5,-25.3333
0,C0805C106K3PACTU,,Capacitance Change,%,4.75,-29.2632
0,C0805C106K3PACTU,,Capacitance Change,%,5,-32.8
0,C0805C106K3PACTU,,Capacitance Change,%,5.25,-36
0,C0805C106K3PACTU,,Capacitance Change,%,5.5,-38.9091
0,C0805C106K3PACTU,,Capacitance Change,%,5.75,-41.5652
0,C0805C106K3PACTU,,Capacitance Change,%,6,-44
0,C0805C106K3PACTU,,Capacitance Change,%,6.25,-46.24
0,C0805C106K3PACTU,,Capacitance Change,%,6.5,-48.3077
0,C0805C106K3PACTU,,Capacitance Change,%,6.75,-50.2222
0,C0805C106K3PACTU,,Capacitance Change,%,7,-52
0,C0805C106K3PACTU,,Capacitance Change,%,7.25,-53.6552
0,C0805C106K3PACTU,,Capacitance Change,%,7.5,-55.2
0,C0805C106K3PACTU,,Capacitance Change,%,7.75,-56.6452
