,,FGA01 Capacitance,,,,
,,Reverse Bias (V),Capacitance (pF),,,
,,0,5.93,,,
,,0.2,5.04,,,
,,0.4,4.53,,,
,,0.6,4.19,,,
Product Raw Data,,0.8,3.93,,,
InGaAs photodiode,,1,3.73,,,
,,1.2,3.57,,,
Item #,FGA01,1.4,3.43,,,
DISCLAIMER: The data presented here are typical. Slight variations in performance data will occur from lot to lot. Please contact Technical Support with any questions regarding the use or reliability of this data.,,1.6,3.31,,,
,,1.8,3.21,,,
,,2,3.11,,,
,,2.2,3.04,,,
,,2.4,2.99,,,
,,2.6,2.93,,,
,,2.8,2.86,,,
Additional Information:,,3,2.82,,,
,,3.2,2.78,,,
,,3.4,2.74,,,
,,3.6,2.69,,,
,,3.8,2.67,,,
,,4,2.62,,,
,,4.2,2.6,,,
,,4.4,2.58,,,
,,4.6,2.54,,,
,,4.8,2.51,,,
,,5,2.5,,,
,,5.2,2.47,,,
,,5.4,2.45,,,
,,5.6,2.44,,,
,,5.8,2.42,,,
,,6,2.4,,,
,,6.2,2.38,,,
,,6.4,2.37,,,
,,6.6,2.35,,,
,,6.8,2.34,,,
,,7,2.32,,,
,,7.2,2.31,,,
,,7.4,2.3,,,
,,7.6,2.27,,,
,,7.8,2.26,,,
,,8,2.25,,,
,,8.2,2.24,,,
,,8.4,2.24,,,
,,8.6,2.23,,,
,,8.8,2.22,,,
,,9,2.21,,,
,,10,2.19,,,
,,15,2.04,,,
,,20,1.96,,,
